	Irrel_kd_1	Irrel_kd_2	Irrel_kd_3	Mov10_kd_2	Mov10_kd_3	Mov10_oe_1	Mov10_oe_2	Mov10_oe_3
ENSG00000180318	182.0567	176.966	210.8479	231.5447	242.5452	190.8997	204.263	230.8272
ENSG00000180329	2224.141	2220.403	2124.493	1951.5	1986.306	1995.472	1890.967	2037.7
ENSG00000180332	0.8968311	0	1.334481	0	0	0	0	0
ENSG00000180336	639.4406	820.2894	806.0263	450.297	402.8173	682.8334	761.8221	878.9779
ENSG00000180340	415.2328	430.9642	456.3924	456.0536	475.474	484.5914	499.6992	411.2088
ENSG00000180346	466.3522	462.1935	453.7234	495.0708	396.4064	465.012	492.6858	559.4885
ENSG00000180347	0	0	0	0	1.068481	2.447431	1.75333	0
ENSG00000180353	14.3493	38.51613	21.35169	10.23402	21.36962	22.02688	22.7933	12.22926
ENSG00000180354	1374.842	1365.761	1263.753	1393.106	1453.134	1069.528	1223.825	1096.047
ENSG00000180357	1625.058	1721.775	1451.915	1864.511	2487.424	1931.023	1634.981	1927.637
ENSG00000180370	3454.594	3925.522	3565.732	3544.809	2791.941	3307.296	2693.992	3233.11
ENSG00000180376	1208.928	989.9685	1083.598	1459.627	1488.394	1147.03	1101.968	1362.034
ENSG00000180383	0	0	0	0	0	0	6.136656	0
ENSG00000180385	597.2895	640.2005	611.1921	633.2301	572.7058	607.7788	592.6257	576.3037
ENSG00000180386	0	0	0	0	0	0	0	0
ENSG00000180389	0	2.081953	0	1.279253	0	1.631621	0	1.528657
ENSG00000180398	3887.763	4071.259	3645.801	3366.354	3763.19	3516.959	2895.625	3009.926
ENSG00000180409	0	0	0	0	0	0	0	0
ENSG00000180422	2.690493	3.122929	4.003442	1.918879	3.205443	4.079052	0.8766652	3.057314
ENSG00000180423	207.168	211.3182	172.148	233.4636	163.4776	221.0846	207.7697	214.012
ENSG00000180424	0	0	0	0	0	0	0	0
ENSG00000180425	343.4863	335.1944	365.6477	379.9381	380.3792	389.1416	416.416	397.4509
ENSG00000180432	5.380987	1.040976	2.668961	1.279253	0	0	4.383326	0
ENSG00000180433	0.8968311	0	0	0	0	0	0	0
ENSG00000180437	0	0	0	0	0	0	0	0
ENSG00000180438	12.55564	3.122929	8.006884	14.71141	10.68481	11.42135	7.889987	22.92986
ENSG00000180440	115.6912	95.76983	110.7619	78.03442	85.47847	86.47591	87.66652	85.6048
ENSG00000180447	575.7656	525.6931	520.4475	600.6091	594.0754	512.329	584.7357	582.4184
